x,y,z
609148.716494,4059408.0765,-39.0395288824
612049.264573,4060122.40698,-62.4976275014
612044.521524,4060154.65245,-62.4237248122
611985.778681,4060360.51713,-61.6915846438
612085.148272,4060042.31655,-62.9016413349
612264.413029,4059646.18666,-64.4801045299
612202.423562,4059791.21536,-64.0414777222
612151.948731,4059884.29682,-63.6621938004
612385.148272,4059460.21646,-65.4198099909
612408.576954,4059426.67186,-65.6387757595
612415.629963,4059417.05939,-65.7144909519
612422.221031,4059408.0765,-65.7852471174
611864.550378,4060899.75894,-59.5347684624
611813.459253,4061268.01688,-57.1511691701
611873.995071,4060836.73745,-59.9902763261
611919.075452,4060598.62729,-60.8561147023
611917.898467,4060626.00965,-60.8194316989
611909.45623,4060738.07416,-60.4765464661
611969.702646,4060452.14639,-61.4578181734
611800.742558,4061312.95777,-56.8208029425
611798.791277,4061323.78623,-56.712188993
611478.996825,4062265.3984,-46.5100912668
611479.987955,4062261.30265,-46.5560653176
611480.678828,4062268.9458,-46.4956489262
611485.148272,4062259.60922,-46.6041665267
611485.148272,4062310.88177,-46.2305169161
611468.464433,4062728.37674,-43.2027576943
611467.224038,4062741.61871,-43.1294236072
611470.201529,4062717.89224,-43.3000840951
611485.148272,4062609.18494,-44.1498528139
611705.506043,4061789.17808,-52.5437089903
611658.228908,4061889.91405,-51.2660174333
611495.959165,4062494.92794,-45.0130022315
611493.747427,4062510.33371,-44.8920021253
611749.599491,4061551.06792,-54.6605679015
611742.702569,4061584.7571,-54.3570864253
611785.148272,4061406.37969,-55.9997637221
606358.69252,4063878.81993,-64.4921595424
606377.836777,4063881.59487,-64.4343858451
606382.611761,4063882.287,-64.4199758591
606385.148272,4063882.65467,-64.4123211541
606508.430013,4063834.32072,-63.7709863274
606685.148272,4063801.92159,-63.0235938053
606803.417052,4063838.29951,-62.7940349395
606873.686893,4063932.1695,-62.848913617
606918.011052,4063985.45635,-62.8616790879
606985.148272,4064058.28145,-62.8519190875
607029.767896,4064134.86504,-62.9595141803
607052.445261,4064170.27966,-63.0261106297
607081.157579,4064494.0947,-64.1796849404
607054.141029,4064197.65945,-63.1055935844
607159.608689,4064577.26531,-64.2053688371
607333.098507,4064846.55201,-64.5505035844
607213.800255,4064646.49997,-64.1244974643
607379.984681,4064972.17687,-64.560158506
607585.148272,4065115.26519,-63.5997070751
609159.011846,4064053.02854,-52.5208615789
609085.148272,4064062.38703,-53.7337949867
609046.012484,4064108.15547,-54.1518819278
607589.34491,4065116.05854,-63.5800839477
607590.166538,4065116.45688,-63.574198983
609007.278597,4064170.27966,-54.7480145064
609012.551573,4064227.8997,-54.3083956749
609085.148272,4064281.7676,-52.5001387553
609144.806018,4064361.03943,-50.9247178832
609385.148272,4063884.96505,-49.3747000591
609385.148272,4064394.85229,-45.5832332193
607835.4531,4065201.60646,-62.1012195893
607603.085896,4065122.72029,-63.4816632365
607591.246389,4065116.9804,-63.5664644809
607967.093351,4065252.79999,-61.264498089
608001.067611,4065268.82521,-61.0249032908
608185.148272,4065350.94801,-59.700677963
608477.336895,4065367.03034,-56.0124596318
608785.148272,4065397.36404,-53.4629935119
608906.711495,4065405.97102,-51.8581573127
609142.714144,4065315.14039,-49.1088920743
609196.361257,4065299.2599,-48.5566721073
609385.148272,4065302.62156,-46.6089716553
609638.745941,4064170.27966,-44.6601685743
609821.766684,4065122.72029,-42.8504277166
609985.148272,4065014.20265,-41.6660201638
610139.952874,4064876.9833,-41.0634119549
610317.751842,4064698.25492,-40.3493800286
610365.657291,4064646.49997,-40.1532609975
610406.647446,4064575.66187,-40.0889653618
610434.37332,4064526.82982,-40.0346621857
610585.148272,4064395.16435,-39.6563940348
609618.2813,4065228.86499,-44.3797555243
609718.41755,4065175.53198,-43.5963559752
611465.960132,4062756.84835,-43.0747355724
611450.804602,4062979.72887,-42.0430956425
611185.148272,4063725.38923,-39.8912591819
610715.922604,4064170.27966,-39.8518623842
611454.87607,4062991.95494,-42.0379793809
611457.9828,4063001.28402,-42.0340754229
611457.984406,4063001.28885,-42.0340734047
611202.119162,4063697.82492,-39.9333046893
611485.148272,4063213.51157,-41.4887907861
611204.437568,4063694.05934,-39.9390485596
611485.375641,4063218.33803,-41.4756873229
611485.502006,4063217.55827,-41.4783227891
611485.417726,4063218.26676,-41.4759175191
611485.445971,4063218.10462,-41.4764886611
611485.49224,4063217.83903,-41.4774242558
